Date,PADD_Region,Area,Volume
1981-01-15,East Coast (PADD 1),Florida,3606.0
1981-02-15,East Coast (PADD 1),Florida,3162.0
1981-03-15,East Coast (PADD 1),Florida,3167.0
1981-04-15,East Coast (PADD 1),Florida,3064.0
1981-05-15,East Coast (PADD 1),Florida,3052.0
1981-06-15,East Coast (PADD 1),Florida,2856.0
1981-07-15,East Coast (PADD 1),Florida,2833.0
1981-08-15,East Coast (PADD 1),Florida,2650.0
1981-09-15,East Coast (PADD 1),Florida,2612.0
1981-10-15,East Coast (PADD 1),Florida,2709.0
1981-11-15,East Coast (PADD 1),Florida,2563.0
1981-12-15,East Coast (PADD 1),Florida,2499.0
1982-01-15,East Coast (PADD 1),Florida,2378.0
1982-02-15,East Coast (PADD 1),Florida,2154.0
1982-03-15,East Coast (PADD 1),Florida,2381.0
1982-04-15,East Coast (PADD 1),Florida,2154.0
1982-05-15,East Coast (PADD 1),Florida,2204.0
1982-06-15,East Coast (PADD 1),Florida,2141.0
1982-07-15,East Coast (PADD 1),Florida,2170.0
1982-08-15,East Coast (PADD 1),Florida,2063.0
1982-09-15,East Coast (PADD 1),Florida,2008.0
1982-10-15,East Coast (PADD 1),Florida,2049.0
1982-11-15,East Coast (PADD 1),Florida,1878.0
1982-12-15,East Coast (PADD 1),Florida,2046.0
1983-01-15,East Coast (PADD 1),Florida,1897.0
1983-02-15,East Coast (PADD 1),Florida,1767.0
1983-03-15,East Coast (PADD 1),Florida,1908.0
1983-04-15,East Coast (PADD 1),Florida,1757.0
1983-05-15,East Coast (PADD 1),Florida,1683.0
1983-06-15,East Coast (PADD 1),Florida,1577.0
1983-07-15,East Coast (PADD 1),Florida,1538.0
1983-08-15,East Coast (PADD 1),Florida,1581.0
1983-09-15,East Coast (PADD 1),Florida,1561.0
1983-10-15,East Coast (PADD 1),Florida,1526.0
1983-11-15,East Coast (PADD 1),Florida,1406.0
1983-12-15,East Coast (PADD 1),Florida,1275.0
1984-01-15,East Coast (PADD 1),Florida,1352.0
